time,data
1194531485,97.8
1194541485,97.8
1194551485,97.8
1194561485,97.8
1194571485,97.8
1194581485,97.8
1194591485,97.8
1194601485,97.8
1194611485,97.8
1194621485,97.8
1194631485,97.8
1194641485,97.8
1194651485,97.8
1194661485,97.8
1194671485,97.8
1194681485,97.8
1194691485,97.8
1194701485,97.8
1194711485,97.8
1194721485,97.8
1194731485,97.8
1194741485,97.8
1194751485,97.8
1194761485,97.8
1194771485,97.8
1194781485,97.8
1194791485,97.8
1194801485,97.8
1194811485,97.8
1194821485,97.8
1194831485,97.8
1194841485,97.8
1194851485,97.8
1194861485,97.8
1194871485,97.8
1194881485,97.8
1194891485,97.8
1194901485,97.8
1194911485,97.8
1194921485,97.8
1194931485,97.8
1194941485,97.8
1194951485,97.8
1194961485,97.8
1194971485,97.8
1194981485,97.8
1194991485,97.8
1195001485,97.8
1195011485,97.8
1195021485,97.8
1195031485,97.8
1195041485,97.8
1195051485,97.8
1195061485,97.8
1195071485,97.8
1195081485,97.8
1195091485,97.8
1195101485,97.8
1195111485,97.8
1195121485,97.8
1195131485,97.8
1195141485,97.8
1195151485,97.8
1195161485,97.8
1195171485,97.8
1195181485,97.8
1195191485,97.8
1195201485,97.8
1195211485,97.8
1195221485,97.8
1195231485,97.8
1195241485,97.8
1195251485,97.8
1195261485,97.8
1195271485,97.8
1195281485,97.8
1195291485,97.8
1195301485,97.8
1195311485,97.8
1195321485,97.8
1195331485,97.8
1195341485,97.8
1195351485,97.8
1195361485,97.8
1195371485,97.8
1195381485,97.8
1195391485,97.8
1195401485,97.8
1195411485,97.8
1195421485,97.8
1195431485,97.8
1195441485,97.8
1195451485,100.0
1195461485,100.0
1195471485,100.0
1195481485,100.0
1195491485,100.0
1195501485,100.0
1195511485,100.0
1195521485,100.0
1195531485,100.0
1195541485,100.0
1195551485,100.0
1195561485,100.0
1195571485,100.0
1195581485,100.0
1195591485,100.0
1195601485,100.0
1195611485,100.0
1195621485,100.0
1195631485,100.0
1195641485,100.0
1195651485,100.0
1195661485,100.0
1195671485,100.0
1195681485,100.0
1195691485,100.0
1195701485,100.0
1195711485,100.0
1195721485,100.0
1195731485,100.0
1195741485,100.0
1195751485,100.0
1195761485,100.0
1195771485,100.0
1195781485,100.0
1195791485,100.0
1195801485,100.0
1195811485,100.0
1195821485,100.0
1195831485,100.0
1195841485,100.0
1195851485,100.0
1195861485,100.0
1195871485,100.0
1195881485,100.0
1195891485,100.0
1195901485,100.0
1195911485,100.0
1195921485,100.0
1195931485,100.0
1195941485,100.0
1195951485,100.0
1195961485,100.0
1195971485,100.0
1195981485,100.0
1195991485,100.0
1196001485,100.0
1196011485,100.0
1196021485,100.0
1196031485,100.0
1196041485,100.0
1196051485,100.0
1196061485,100.0
1196071485,100.0
1196081485,100.0
1196091485,100.0
1196101485,100.0
1196111485,100.0
1196121485,100.0
1196131485,100.0
1196141485,100.0
1196151485,100.0
1196161485,100.0
1196171485,100.0
1196181485,100.0
1196191485,100.0
1196201485,100.0
1196211485,100.0
1196221485,100.0
1196231485,100.0
1196241485,100.0
1196251485,100.0
1196261485,100.0
1196271485,100.0
1196281485,100.0
1196291485,100.0
1196301485,100.0
1196311485,100.0
1196321485,100.0
1196331485,100.0
1196341485,100.0
1196351485,100.0
1196361485,100.0
1196371485,100.0
1196381485,100.0
1196391485,100.0
1196401485,100.0
1196411485,100.0
1196421485,100.0
1196431485,100.0
1196441485,100.0
1196451485,99.1
1196461485,99.1
1196471485,99.1
1196481485,99.1
1196491485,99.1
1196501485,99.1
1196511485,99.1
1196521485,99.1
1196531485,99.1
1196541485,99.1
1196551485,99.1
1196561485,99.1
1196571485,99.1
1196581485,99.1
1196591485,99.1
1196601485,99.1
1196611485,99.1
1196621485,99.1
1196631485,99.1
1196641485,99.1
1196651485,99.1
1196661485,99.1
1196671485,99.1
1196681485,99.1
1196691485,99.1
1196701485,99.1
1196711485,99.1
1196721485,99.1
1196731485,99.1
1196741485,99.1
1196751485,99.1
1196761485,99.1
1196771485,99.1
1196781485,99.1
1196791485,99.1
1196801485,99.1
1196811485,99.1
1196821485,99.1
1196831485,99.1
1196841485,99.1
1196851485,99.1
1196861485,99.1
1196871485,99.1
1196881485,99.1
1196891485,99.1
1196901485,99.1
1196911485,99.1
1196921485,99.1
1196931485,99.1
1196941485,99.1
1196951485,99.1
1196961485,99.1
1196971485,99.1
1196981485,99.1
1196991485,99.1
1197001485,99.1
1197011485,99.1
1197021485,99.1
1197031485,99.1
1197041485,99.1
1197051485,99.1
1197061485,99.1
1197071485,99.1
1197081485,99.1
1197091485,99.1
1197101485,99.1
1197111485,99.1
1197121485,99.1
1197131485,99.1
